"","address","district","kooli_nimi","keel","VIITEPUNKT_X","VIITEPUNKT_Y"
"1","A. Lauteri tn 3","Kesklinna linnaosa","EBS Gümnaasium","eesti",24.7566534065525,59.4321209548893
"4","Apteegi tn 3","Kesklinna linnaosa","Tallinna Toomkool","eesti",24.7463395664056,59.4377984054145
"6","Estonia pst 10","Kesklinna linnaosa","Tallinna Inglise Kolledž","eesti",24.7466612234655,59.4332191309173
"13","F. R. Kreutzwaldi tn 25","Kesklinna linnaosa","Tallinna Kesklinna Vene Gümnaasium","eesti/ vene",24.768663021281,59.4330989862721
"16","Gonsiori tn 38","Kesklinna linnaosa","Kadrioru Saksa Gümnaasium","eesti",24.777383571951,59.4322900501152
"18","Hariduse tn 3","Kesklinna linnaosa","Tallinna Prantsuse Lütseum","eesti",24.7424119407564,59.4311799300018
"22","J. Vilmsi tn 59","Kesklinna linnaosa","Erakool Garant","vene",24.7799139686852,59.4295274452565
"26","Juhkentali tn 18","Kesklinna linnaosa","Eesti Rahvusvaheline Kool","inglise",24.7631036610379,59.4271808426655
"31","Karu tn 16","Kesklinna linnaosa","Tallinna Juudi Kool","eesti/ vene",24.766091565645,59.4387118349187
"33","Kevade tn 8","Kesklinna linnaosa","Jakob Westholmi Gümnaasium","eesti",24.7307571842841,59.4337003761442
"35","Koidu tn 97","Kesklinna linnaosa","Tallinna Humanitaargümnaasium","eesti/ vene",24.7386698034547,59.4221425578194
"39","Kooli tn 2","Kesklinna linnaosa","Tallinna Vanalinna Täiskasvanute Gümnaasium","eesti",24.7435175478992,59.4403117110493
"42","Liivalaia tn 23","Kesklinna linnaosa","Tallinna Südalinna Kool","eesti",24.7521023628689,59.4290811749147
"44","Raua tn 6","Kesklinna linnaosa","Tallinna 21. Kool","eesti",24.7663730614783,59.4356022401963
"48","Sakala tn 21","Kesklinna linnaosa","Sakala Eragümnaasium","vene",24.7465287131143,59.4306463193018
"50","Suur-Kloostri tn 16","Kesklinna linnaosa","Gustav Adolfi Gümnaasium","eesti",24.7430952897945,59.4398191146493
"54","Tartu mnt 23","Kesklinna linnaosa","Edu Valem Erakool","osaline keelekümblus",24.7627816778069,59.4335703620325
"56","Toom-Kooli tn 11","Kesklinna linnaosa","Tallinna Balletikooli üldharidusklassid","eesti",24.7381263991315,59.4365419877659
"58","Toompuiestee 4","Kesklinna linnaosa","Kaarli Koguduse Lasteaed-Põhikool","eesti",24.7373492462301,59.4323048971677
"60","Vase tn 9a","Kesklinna linnaosa","Tallinna Soome Kool","soome",24.7743715077509,59.4357760956354
"62","Vene tn 22","Kesklinna linnaosa","Vanalinna Hariduskolleegium","eesti",24.7488496197933,59.4385662138623
